condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_004,Fumarate,fumarate,direct,4,3,M+3,0.19748847446821458
condition0,theta0_sample_004,Fumarate,fumarate,direct,4,4,M+4,0.3907535704251896
condition0,theta0_sample_004,Malate,malate,direct,4,0,M+0,0.048048595490997159
condition0,theta0_sample_004,Malate,malate,direct,4,1,M+1,0.082905642316647404
condition0,theta0_sample_004,Malate,malate,direct,4,2,M+2,0.28149154057180181
condition0,theta0_sample_004,Malate,malate,direct,4,3,M+3,0.19610560994246626
condition0,theta0_sample_004,Malate,malate,direct,4,4,M+4,0.39144861167808792
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,0,M+0,0.022526494425768939
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,1,M+1,0.06140761643311083
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,2,M+2,0.13186345905682931
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,3,M+3,0.28043105669200469
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,4,M+4,0.18528457158421541
condition0,theta0_sample_004,Glutamine,glutamine,direct,5,5,M+5,0.31848680180807137
condition0,theta0_sample_004,Aspartate,aspartate,reporter,4,0,M+0,0.058165257152081956
condition0,theta0_sample_004,Aspartate,aspartate,reporter,4,1,M+1,0.11942118214818448
condition0,theta0_sample_004,Aspartate,aspartate,reporter,4,2,M+2,0.20189908461322814
condition0,theta0_sample_004,Aspartate,aspartate,reporter,4,3,M+3,0.2052772557206628
condition0,theta0_sample_004,Aspartate,aspartate,reporter,4,4,M+4,0.41523722036584293
condition0,theta0_sample_004,Glycine,glycine,reporter,2,0,M+0,0.26526992586000631
condition0,theta0_sample_004,Glycine,glycine,reporter,2,1,M+1,0.069460148279987241
condition0,theta0_sample_004,Glycine,glycine,reporter,2,2,M+2,0.66526992586000622
condition0,theta0_sample_004,Serine,serine,reporter,3,0,M+0,0.26526992586000631
condition0,theta0_sample_004,Serine,serine,reporter,3,1,M+1,0.034730074139993621
condition0,theta0_sample_004,Serine,serine,reporter,3,2,M+2,0.034730074139993621
condition0,theta0_sample_004,Serine,serine,reporter,3,3,M+3,0.66526992586000622
condition0,theta0_sample_005,Pyruvate,pyruvate,direct,3,0,M+0,0.26067370405815188
condition0,theta0_sample_005,Pyruvate,pyruvate,direct,3,1,M+1,0.037686708786988661
condition0,theta0_sample_005,Pyruvate,pyruvate,direct,3,2,M+2,0.042605470251566802
condition0,theta0_sample_005,Pyruvate,pyruvate,direct,3,3,M+3,0.65903411690329239
condition0,theta0_sample_005,Alanine,alanine,reporter,3,0,M+0,0.26067370405815188
condition0,theta0_sample_005,Alanine,alanine,reporter,3,1,M+1,0.037686708786988661
condition0,theta0_sample_005,Alanine,alanine,reporter,3,2,M+2,0.042605470251566802
condition0,theta0_sample_005,Alanine,alanine,reporter,3,3,M+3,0.65903411690329239
condition0,theta0_sample_005,Lactate,lactate,reporter,3,0,M+0,0.26067370405815188
condition0,theta0_sample_005,Lactate,lactate,reporter,3,1,M+1,0.037686708786988661
condition0,theta0_sample_005,Lactate,lactate,reporter,3,2,M+2,0.042605470251566802
condition0,theta0_sample_005,Lactate,lactate,reporter,3,3,M+3,0.65903411690329239
condition0,theta0_sample_005,Citrate,citrate,reporter,6,0,M+0,0.018084388578638082
condition0,theta0_sample_005,Citrate,citrate,reporter,6,1,M+1,0.037853012360554966
condition0,theta0_sample_005,Citrate,citrate,reporter,6,2,M+2,0.09937447842947611
condition0,theta0_sample_005,Citrate,citrate,reporter,6,3,M+3,0.14923644381566301
condition0,theta0_sample_005,Citrate,citrate,reporter,6,4,M+4,0.2539984218503859
condition0,theta0_sample_005,Citrate,citrate,reporter,6,5,M+5,0.14902451785972959
condition0,theta0_sample_005,Citrate,citrate,reporter,6,6,M+6,0.29242873710555117
condition0,theta0_sample_005,aKG,akg,direct,5,0,M+0,0.022260504137042017
condition0,theta0_sample_005,aKG,akg,direct,5,1,M+1,0.061105854825455282
condition0,theta0_sample_005,aKG,akg,direct,5,2,M+2,0.1320050145970518
condition0,theta0_sample_005,aKG,akg,direct,5,3,M+3,0.28033753618490675
condition0,theta0_sample_005,aKG,akg,direct,5,4,M+4,0.18758394385199853
condition0,theta0_sample_005,aKG,akg,direct,5,5,M+5,0.31670714640354464
condition0,theta0_sample_005,Succinate,succinate,direct,4,0,M+0,0.050545731769828059
condition0,theta0_sample_005,Succinate,succinate,direct,4,1,M+1,0.075803700603190818
condition0,theta0_sample_005,Succinate,succinate,direct,4,2,M+2,0.29262555370896398
condition0,theta0_sample_005,Succinate,succinate,direct,4,3,M+3,0.1851548636931864
condition0,theta0_sample_005,Succinate,succinate,direct,4,4,M+4,0.3958701502248298
